Giá,Khoảng giá min,Khoảng giá max,Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Loại xe,Dung tích xe,Xuất xứ,Chênh lệch giá
66.0,72.53,85.14,Piaggio,Vespa,2024,14000,Tay ga,100 - 175 cc,Đang cập nhật,12.61
79.5,62.76,73.68,Honda,SH,2019,28000,Tay ga,100 - 175 cc,Đang cập nhật,10.920000000000009
37.0,28.0,32.86,Honda,Vision,2023,12000,Tay ga,100 - 175 cc,Đang cập nhật,4.859999999999999
45.0,43.1,50.6,Piaggio,Vespa,2019,60000,Tay ga,100 - 175 cc,Đang cập nhật,7.5
23.0,17.02,19.98,Yamaha,Latte,2021,24000,Tay ga,100 - 175 cc,Nhật Bản,2.960000000000001
7.5,7.73,9.08,SYM,Elegant,2018,25000,Xe số,Dưới 50 cc,Đang cập nhật,1.3499999999999996
16.0,13.83,16.24,Honda,Air Blade,2013,80000,Tay ga,100 - 175 cc,Việt Nam,2.4099999999999984
7.3,10.08,11.83,Honda,Wave,2003,2,Xe số,50 - 100 cc,Đang cập nhật,1.75
7.5,6.97,8.19,Yamaha,Sirius,2015,35000,Xe số,100 - 175 cc,Việt Nam,1.2199999999999998
33.0,27.45,32.22,Honda,Lead,2020,20000,Tay ga,100 - 175 cc,Việt Nam,4.77
19.9,22.08,25.92,Hãng khác,Dòng khác,trước năm 1980,99000,Tay côn/Moto,Trên 175 cc,Nhật Bản,3.8400000000000034
100.0,23.67,27.79,Honda,SH,2005,8000,Tay ga,100 - 175 cc,Nước khác,4.119999999999997
14.8,13.62,15.98,SYM,Wolf,2016,10000,Tay côn/Moto,100 - 175 cc,Đài Loan,2.360000000000001
18.5,13.86,16.27,Yamaha,Exciter,2014,20000,Xe số,100 - 175 cc,Nhật Bản,2.41
37.0,36.19,42.49,Honda,Vario,2024,900,Tay ga,100 - 175 cc,Việt Nam,6.300000000000004
6.0,3.91,4.59,Hãng khác,Dòng khác,2001,300000,Tay ga,100 - 175 cc,Đang cập nhật,0.6799999999999997
11.0,36.71,43.1,Honda,Air Blade,2023,70000,Tay ga,100 - 175 cc,Nhật Bản,6.390000000000001
83.0,42.75,50.19,Honda,Cub,2022,8600,Xe số,100 - 175 cc,Thái Lan,7.439999999999998
33.0,30.13,35.37,Honda,Vario,2019,27000,Tay ga,100 - 175 cc,Việt Nam,5.239999999999998
30.0,25.09,29.45,Piaggio,Vespa,2016,23000,Tay ga,100 - 175 cc,Nước khác,4.359999999999999
65.0,40.61,47.67,Honda,SH,2008,38000,Tay ga,100 - 175 cc,Nước khác,7.060000000000002
29.9,26.31,30.89,Honda,Vision,2022,2642,Tay ga,100 - 175 cc,Việt Nam,4.580000000000002
9.0,8.28,9.73,Honda,Wave,2015,450000,Xe số,100 - 175 cc,Việt Nam,1.450000000000001
15.0,7.94,9.32,Honda,Wave,2014,6000,Xe số,100 - 175 cc,Việt Nam,1.38
31.999,72.21,84.76,Honda,CBR,2019,9999,Tay côn/Moto,100 - 175 cc,Nước khác,12.550000000000011
350.0,322.0,378.0,Hãng khác,1290 Super Duke R,2014,13000,Tay côn/Moto,Trên 175 cc,Nước khác,56.0
19.0,16.51,19.38,Honda,Winner X,2019,5000,Tay côn/Moto,100 - 175 cc,Việt Nam,2.8699999999999974
7.0,5.96,6.99,Honda,SCR,2010,15000,Tay ga,100 - 175 cc,Trung Quốc,1.0300000000000002
4.3,3.6,4.23,Suzuki,Hayate,2011,55000,Tay ga,100 - 175 cc,Nhật Bản,0.6300000000000003
32.0,28.79,33.8,Yamaha,Exciter,2022,48364,Tay côn/Moto,100 - 175 cc,Nhật Bản,5.009999999999998
12.5,10.39,12.2,Honda,Wave,2018,30000,Xe số,100 - 175 cc,Việt Nam,1.8099999999999987
87.0,74.57,87.54,Honda,SH,2022,9500,Tay ga,100 - 175 cc,Việt Nam,12.970000000000013
43.0,8.99,10.55,Hãng khác,Dòng khác,2019,5000,Tay ga,100 - 175 cc,Nước khác,1.5600000000000005
3.2,3.11,3.66,SYM,Attila,2009,10000,Tay ga,100 - 175 cc,Nhật Bản,0.5500000000000003
21.0,13.05,15.32,Piaggio,Zip,2019,8000,Tay ga,100 - 175 cc,Việt Nam,2.2699999999999996
70.0,65.71,77.13,Honda,SH,2020,52000,Tay ga,100 - 175 cc,Nhật Bản,11.420000000000002
10.8,16.31,19.14,Honda,Wave,2024,500,Xe số,50 - 100 cc,Trung Quốc,2.830000000000002
35.5,31.06,36.46,Yamaha,R,2019,20000,Tay côn/Moto,100 - 175 cc,Việt Nam,5.400000000000002
49.0,33.12,38.88,Hãng khác,Django,2021,1363,Tay ga,50 - 100 cc,Nước khác,5.760000000000005
64.999999,43.42,50.97,Honda,Click,2015,25000,Xe số,100 - 175 cc,Thái Lan,7.549999999999997
11.5,7.98,9.37,Honda,Lead,2012,50000,Tay ga,100 - 175 cc,Việt Nam,1.3899999999999988
23.0,24.04,28.22,Honda,Dòng khác,2022,120000,Xe số,100 - 175 cc,Việt Nam,4.18
12.8,8.25,9.68,Honda,@,2018,1,Xe số,100 - 175 cc,Việt Nam,1.4299999999999997
4.3,2.15,2.53,SYM,Attila,2004,40000,Tay ga,100 - 175 cc,Đang cập nhật,0.3799999999999999
